OrderID,Region,Product,Qty,Price,Profit,Total
1,North,Tablet,6,60,34.54,360
2,North,Printer,9,40,100.85,360
3,West,Monitor,4,25,17.20,100
4,North,Tablet,4,40,41.91,160
5,West,Laptop,2,80,14.55,160
6,East,Webcam,7,120,181.30,840
7,West,Printer,10,60,149.72,600
8,West,Headset,8,40,78.56,320
9,North,Laptop,2,900,304.24,1800
10,East,Tablet,10,80,190.24,800
11,West,Webcam,3,200,129.67,600
12,North,Mouse,7,25,30.14,175
13,West,Laptop,12,200,523.35,2400
14,East,Printer,11,25,55.43,275
15,West,Tablet,2,600,229.36,1200
16,West,Keyboard,4,80,53.41,320
17,North,Monitor,10,60,116.91,600
18,West,Printer,5,120,111.04,600
19,West,Printer,4,120,104.86,480
20,South,Tablet,4,40,34.68,160
21,North,Webcam,10,40,93.18,400
22,East,Mouse,7,80,112.10,560
23,West,Printer,7,350,509.25,2450
24,North,Mouse,6,120,111.69,720
25,East,Headset,8,120,213.47,960
26,North,Tablet,3,200,59.34,600
27,South,Monitor,6,25,24.16,150
28,West,Webcam,10,600,1047.89,6000
29,West,Mouse,2,900,405.23,1800
30,East,Printer,2,40,15.35,80
31,North,Laptop,11,80,122.87,880
32,West,Tablet,10,350,736.29,3500
33,East,Keyboard,6,60,79.36,360
34,West,Laptop,8,120,149.34,960
35,North,Printer,7,200,267.16,1400
36,West,Tablet,3,900,648.58,2700
37,South,Mouse,9,60,74.53,540
38,North,Keyboard,9,200,444.22,1800
39,East,Headset,5,40,55.96,200
40,South,Printer,6,80,103.16,480
